"","INSTNM","STABBR","ACCREDAGENCY","HIGHDEG","ADM_RATE_ALL","SAT_AVG_ALL","PCIP14","UGDS","COSTT4_A","COSTT4_P","TUITIONFEE_IN","TUITIONFEE_OUT","TUITFTE","INEXPFTE","AVGFACSAL","PCTFLOAN","PAR_ED_PCT_PS","DEP_INC_AVG","DEBT_MDN","AGE_ENTRY","FEMALE","VETERAN","FAMINC","GRADS"
"7132","L'esprit Academy - Royal Oak","MI","National Accrediting Commission of Career Arts and Sciences",0,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.5336787565","48565.68","6333","25.462222222","PrivacySuppressed","PrivacySuppressed","31169.991111","NULL"
"7133","National Career Institute - Jersey City Branch","NJ","Council on Occupational Education",0,"NULL","NULL","NULL","NULL","NULL","NULL","12451","NULL","NULL","NULL","NULL","NULL","0.1892523364","18911.622449","6756","30.442141623","0.3626943005","PrivacySuppressed","8221.0569948","NULL"
"7134","Somerset County Technology Center - Bedford Site","PA","Middle States Commission on Secondary Education",0,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","47828.038462","14492","27.6375","0.85","PrivacySuppressed","35656.125","NULL"
"7135","Strayer University-Cobb Campus","GA","Middle States Commission on Higher Education",0,"NULL","NULL","NULL","NULL","NULL","NULL","12975","NULL","NULL","NULL","NULL","NULL","0.4627059662","27790.69863","9500","33.360801106","0.7508344853","0.0144306956","23781.134597","NULL"
"7136","Strayer University-Morrow Campus","GA","Middle States Commission on Higher Education",0,"NULL","NULL","NULL","NULL","NULL","NULL","12975","NULL","NULL","NULL","NULL","NULL","0.4627059662","27790.69863","9500","33.360801106","0.7508344853","0.0144306956","23781.134597","NULL"
"7137","Strayer University-Roswell Campus","GA","Middle States Commission on Higher Education",0,"NULL","NULL","NULL","NULL","NULL","NULL","12975","NULL","NULL","NULL","NULL","NULL","0.4627059662","27790.69863","9500","33.360801106","0.7508344853","0.0144306956","23781.134597","NULL"
"7138","Strayer University-Douglasville Campus","GA","Middle States Commission on Higher Education",0,"NULL","NULL","NULL","NULL","NULL","NULL","12975","NULL","NULL","NULL","NULL","NULL","0.4627059662","27790.69863","9500","33.360801106","0.7508344853","0.0144306956","23781.134597","NULL"
"7139","Strayer University-Lithonia Campus","GA","Middle States Commission on Higher Education",0,"NULL","NULL","NULL","NULL","NULL","NULL","12975","NULL","NULL","NULL","NULL","NULL","0.4627059662","27790.69863","9500","33.360801106","0.7508344853","0.0144306956","23781.134597","NULL"
"7140","Strayer University-Savannah Campus","GA","Middle States Commission on Higher Education",0,"NULL","NULL","NULL","NULL","NULL","NULL","12975","NULL","NULL","NULL","NULL","NULL","0.4627059662","27790.69863","9500","33.360801106","0.7508344853","0.0144306956","23781.134597","NULL"
"7141","Strayer University-Augusta Campus","GA","Middle States Commission on Higher Education",0,"NULL","NULL","NULL","NULL","NULL","NULL","12975","NULL","NULL","NULL","NULL","NULL","0.4627059662","27790.69863","9500","33.360801106","0.7508344853","0.0144306956","23781.134597","NULL"
"7142","Strayer University-Columbus","GA","NULL",0,"NULL","NULL","NULL","NULL","NULL","NULL","12975","NULL","NULL","NULL","NULL","NULL","0.4627059662","27790.69863","9500","33.360801106","0.7508344853","0.0144306956","23781.134597","NULL"
"7143","Strayer University-Columbia Campus","SC","Middle States Commission on Higher Education",0,"NULL","NULL","NULL","NULL","NULL","NULL","12975","NULL","NULL","NULL","NULL","NULL","0.4627059662","27790.69863","9500","33.360801106","0.7508344853","0.0144306956","23781.134597","NULL"
"7144","Strayer University-Charleston Campus","SC","Middle States Commission on Higher Education",0,"NULL","NULL","NULL","NULL","NULL","NULL","15495","NULL","NULL","NULL","NULL","NULL","0.4627059662","27790.69863","9500","33.360801106","0.7508344853","0.0144306956","23781.134597","NULL"
"7145","Strayer University-Irving","TX","Middle States Commission on Higher Education",0,"NULL","NULL","NULL","NULL","NULL","NULL","12975","NULL","NULL","NULL","NULL","NULL","0.4627059662","27790.69863","9500","33.360801106","0.7508344853","0.0144306956","23781.134597","NULL"
"7146","Strayer University-Katy","TX","NULL",0,"NULL","NULL","NULL","NULL","NULL","NULL","12975","NULL","NULL","NULL","NULL","NULL","0.4627059662","27790.69863","9500","33.360801106","0.7508344853","0.0144306956","23781.134597","NULL"
"7147","Strayer University-Northwest Houston","TX","Middle States Commission on Higher Education",0,"NULL","NULL","NULL","NULL","NULL","NULL","12975","NULL","NULL","NULL","NULL","NULL","0.4627059662","27790.69863","9500","33.360801106","0.7508344853","0.0144306956","23781.134597","NULL"
"7148","Strayer University-Plano","TX","NULL",0,"NULL","NULL","NULL","NULL","NULL","NULL","12975","NULL","NULL","NULL","NULL","NULL","0.4627059662","27790.69863","9500","33.360801106","0.7508344853","0.0144306956","23781.134597","NULL"
"7149","Strayer University-Cedar Hill","TX","Middle States Commission on Higher Education",0,"NULL","NULL","NULL","NULL","NULL","NULL","12975","NULL","NULL","NULL","NULL","NULL","0.4627059662","27790.69863","9500","33.360801106","0.7508344853","0.0144306956","23781.134597","NULL"
"7150","Strayer University-North Dallas","TX","Middle States Commission on Higher Education",0,"NULL","NULL","NULL","NULL","NULL","NULL","12975","NULL","NULL","NULL","NULL","NULL","0.4627059662","27790.69863","9500","33.360801106","0.7508344853","0.0144306956","23781.134597","NULL"
"7151","Strayer University-San Antonio","TX","Middle States Commission on Higher Education",0,"NULL","NULL","NULL","NULL","NULL","NULL","15495","NULL","NULL","NULL","NULL","NULL","0.4627059662","27790.69863","9500","33.360801106","0.7508344853","0.0144306956","23781.134597","NULL"
"7152","Strayer University-Stafford","TX","Middle States Commission on Higher Education",0,"NULL","NULL","NULL","NULL","NULL","NULL","15495","NULL","NULL","NULL","NULL","NULL","0.4627059662","27790.69863","9500","33.360801106","0.7508344853","0.0144306956","23781.134597","NULL"
"7153","Unitek College","CA","Accrediting Commission of Career Schools and Colleges",0,"NULL","NULL","NULL","NULL","NULL","NULL","33110","NULL","NULL","NULL","NULL","NULL","0.5594202899","53693.298054","9500","28.388384038","0.7945476096","0.0071118135","40846.611221","NULL"
"7154","Relay Graduate School of Education - Newark","NJ","Middle States Commission on Higher Education",0,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL"
"7155","Relay Graduate School of Education - New Orleans","LA","Middle States Commission on Higher Education",0,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL"
"7156","Relay Graduate School of Education - Delaware","DE","Middle States Commission on Higher Education",0,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL"
"7157","Relay Graduate School of Education - Memphis","TN","Middle States Commission on Higher Education",0,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL"
"7158","Relay Graduate School of Education - Houston","TX","Middle States Commission on Higher Education",0,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL"
"7159","Relay Graduate School of Education - Chicago","IL","Middle States Commission on Higher Education",0,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL"
"7160","Relay Graduate School of Education - Baton Rouge","LA","Middle States Commission on Higher Education",0,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL"
"7161","Relay Graduate School of Education - Philadelphia & Camden","PA","Middle States Commission on Higher Education",0,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL"
"7162","Relay Graduate School of Education - Denver","CO","Middle States Commission on Higher Education",0,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL"
"7163","Relay Graduate School of Education - Nashville","TN","Middle States Commission on Higher Education",0,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL"
